Date,Open,High,Low,Close,Adj Close,Volume
6/5/2020,122.225502,124.432503,121.856499,124.150002,124.150002,66128000
6/8/2020,125.010002,126.5,124.366997,126.203003,126.203003,79414000
6/9/2020,126.472,131.321503,126.25,130.042999,130.042999,103520000
6/10/2020,132.25,136.117493,131.313004,132.372498,132.372498,98920000
6/11/2020,130.175003,133.569,126.811501,127.898003,127.898003,116002000
6/12/2020,130.060501,131.074005,125.167503,127.250999,127.250999,108722000
6/15/2020,126.330002,129.199997,125.400002,128.634003,128.634003,77302000
6/16/2020,131,131,128.800003,130.763504,130.763504,71712000
6/17/2020,132.375,132.75,131.591003,132.048996,132.048996,59186000
6/18/2020,132.350494,132.981995,131.805496,132.699005,132.699005,49756000
6/19/2020,133.904007,134.871506,132.949997,133.750504,133.750504,115540000
6/22/2020,134.225006,135.75,133.449997,135.690994,135.690994,64176000
6/23/2020,136.300995,139.155502,135.901993,138.220505,138.220505,84634000
6/24/2020,139,139.800003,136.050003,136.720001,136.720001,90532000
6/25/2020,136.977493,137.811493,135.606995,137.729004,137.729004,59374000
6/26/2020,138.753006,139.128494,134.399994,134.643494,134.643494,130016000
6/29/2020,134.500504,134.839996,131.503998,134.018997,134.018997,84468000
6/30/2020,134.253494,138.481506,133.751495,137.940994,137.940994,75394000
7/1/2020,137.899506,144.75,137.699997,143.934998,143.934998,127268000
7/2/2020,145.600494,147.778,143.554993,144.514999,144.514999,131868000
7/6/2020,146.748505,152.994003,146.5,152.852005,152.852005,137612000
7/7/2020,152.927505,153.477493,149.5,150.005997,150.005997,105150000
7/8/2020,151.130493,154.198502,150.621506,154.055496,154.055496,100752000
7/9/2020,155.7995,159.694,153.699997,159.1315,159.1315,127774000
7/10/2020,159.587997,160.75,156.785004,160,160,109720000
7/13/2020,162.552994,167.214493,153.419495,155.199997,155.199997,154408000
7/14/2020,154.449997,156.369003,147.5,154.199997,154.199997,144638000
7/15/2020,154.011505,154.917496,148.658997,150.443497,150.443497,115778000
7/16/2020,148.552994,151.600006,145.911499,149.994995,149.994995,127884000
7/17/2020,150.449997,151.199997,147.422501,148.098495,148.098495,95226000
7/20/2020,150.009995,160.067993,149.701004,159.841995,159.841995,151964000
7/21/2020,161.624496,162.029007,155.285995,156.914505,156.914505,122426000
7/22/2020,156.25,157.5,153.263,154.995499,154.995499,82084000
7/23/2020,154.913498,154.913498,148.5,149.327499,149.327499,113138000
7/24/2020,146.5,151.578995,144.399994,150.445496,150.445496,112648000
7/27/2020,153.100006,154.899994,150.788498,152.760498,152.760498,83410000
7/28/2020,152.713501,153.854507,149.787994,150.016495,150.016495,62534000
7/29/2020,151.5495,151.957993,149.838501,151.676498,151.676498,59482000
7/30/2020,150.699997,154.600006,150.25,152.593994,152.593994,122566000
7/31/2020,162.199997,162.341003,157.550003,158.233994,158.233994,161710000
8/3/2020,159.025497,159.199997,155.199997,155.594498,155.594498,101494000
8/4/2020,155.060501,158.362,155.060501,156.941498,156.941498,93886000
8/5/2020,157.188507,160.679504,156.365005,160.251495,160.251495,78330000
8/6/2020,159.718002,162.373505,158.2715,161.25,161.25,78812000
8/7/2020,161.2005,162.040497,157.033493,158.373001,158.373001,78722000
8/10/2020,158.515503,158.625504,155.076004,157.408005,157.408005,63346000
